Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",139.300000,-87.975000,-90.000000,top
"C2","10u","C_0603_1608Metric",146.175000,-85.600000,0.000000,top
"C3","1u","C_0402_1005Metric",136.080000,-96.450000,90.000000,top
"C4","100n","C_0402_1005Metric",132.200000,-94.120000,90.000000,top
"C5","100n","C_0402_1005Metric",136.000000,-108.280000,-90.000000,top
"C6","1u","C_0402_1005Metric",137.080000,-96.450000,90.000000,top
"C7","100n","C_0402_1005Metric",133.300000,-94.120000,90.000000,top
"C8","100n","C_0402_1005Metric",139.300000,-101.800000,90.000000,top
"C9","100n","C_0402_1005Metric",134.900000,-111.380000,-90.000000,top
"C10","100n","C_0402_1005Metric",129.300000,-103.000000,90.000000,top
"C11","100n","C_0402_1005Metric",129.300000,-99.400000,90.000000,top
"C12","100n","C_0402_1005Metric",138.800000,-95.320000,90.000000,top
"C13","100n","C_0402_1005Metric",138.800000,-99.380000,90.000000,top
"C14","100n","C_0402_1005Metric",128.900000,-84.400000,180.000000,top
"C15","15p","C_0402_1005Metric",131.320000,-109.800000,0.000000,top
"C16","15p","C_0402_1005Metric",133.320000,-109.800000,0.000000,top
"C18","100n","C_0402_1005Metric",144.655000,-104.475000,0.000000,top
"D1","RED","LED_0603_1608Metric",144.387500,-83.800000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10104110_Horizontal",134.620000,-79.940000,180.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",148.000000,-101.740000,180.000000,top
"R1","1k","R_0402_1005Metric",144.110000,-82.200000,180.000000,top
"R2","10k","R_0402_1005Metric",120.200000,-86.300000,180.000000,top
"R3","1k","R_0402_1005Metric",133.600000,-108.110000,90.000000,top
"R4","27.4","R_0402_1005Metric",135.630000,-91.660000,-90.000000,top
"R5","27.4","R_0402_1005Metric",134.630000,-91.660000,-90.000000,top
"R6","10k","R_0402_1005Metric",140.300000,-105.710000,-90.000000,top
"R7","10k","R_0402_1005Metric",142.590000,-102.900000,0.000000,top
"R8","10k","R_0402_1005Metric",137.400000,-110.410000,-90.000000,top
"R9","1k","R_0402_1005Metric",124.590000,-94.700000,0.000000,top
"SW1","SW_Push","SW_SPST_PTS810",125.125000,-98.325000,-90.000000,top
"U1","~","SOT-223",144.700000,-91.000000,-90.000000,top
"U2","~","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",134.000000,-102.500000,0.000000,top
"U3","W25Q128JVS","SOIC-8W_5.3x5.3mm_P1.27mm",126.000000,-88.155000,0.000000,top
"U4","LPS22HB","ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y",142.350000,-105.062500,-90.000000,top
"Y1","12MHz","Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm",132.100000,-112.250000,0.000000,top
